Time,Counter
3.921,215
3.921,214
3.921,214
3.921,213
3.921,212
3.921,210
3.955,207
3.955,204
3.955,200
3.955,196
3.955,190
3.955,184
3.989,177
3.989,169
3.989,161
3.989,152
3.989,142
3.989,131
3.989,120
4.023,107
4.023,94
4.023,83
4.023,71
4.023,59
4.023,46
4.023,33
4.057,19
4.057,4
4.057,-7
4.057,-22
4.057,-43
4.057,-64
4.057,-85
4.091,-108
4.091,-136
4.091,-165
4.091,-196
4.091,-227
4.091,-260
4.125,-293
4.125,-328
4.125,-363
4.125,-399
4.125,-436
4.160,-474
4.160,-513
4.160,-552
4.160,-592
4.160,-632
4.194,-673
4.194,-714
4.194,-756
4.194,-798
4.194,-841
4.194,-884
4.228,-927
4.228,-970
4.228,-1014
4.228,-1064
4.228,-1115
4.262,-1166
4.262,-1216
4.262,-1266
4.262,-1315
4.297,-1363
4.297,-1410
4.297,-1456
4.297,-1502
4.297,-1546
4.331,-1588
4.331,-1630
4.331,-1670
4.331,-1708
4.366,-1746
4.366,-1781
4.366,-1816
4.366,-1848
4.366,-1880
4.400,-1909
4.400,-1938
4.400,-1964
4.400,-1990
4.400,-2014
4.434,-2036
4.434,-2057
4.434,-2077
4.434,-2095
4.469,-2112
4.469,-2128
4.469,-2142
4.469,-2155
4.469,-2166
4.503,-2176
4.503,-2185
4.503,-2193
4.503,-2199
4.537,-2204
4.537,-2208
4.537,-2211
4.537,-2211
4.537,-2211
4.537,-2211
4.537,-2211
4.537,-2211
4.537,-2211
4.571,-2211
4.571,-2211
4.571,-2211
4.571,-2211
4.571,-2211
4.605,-2211
4.605,-2211
4.605,-2211
4.605,-2211
4.605,-2211
4.640,-2211
4.640,-2211
4.640,-2211
4.640,-2211
4.675,-2211
4.675,-2211
4.675,-2211
4.675,-2211
4.675,-2211
4.709,-2211
4.709,-2211
4.709,-2211
4.709,-2211
4.744,-2211
4.744,-2211
